iter	Logloss
0	0.6894992947
1	0.6863043508
2	0.6839408201
3	0.6823072156
4	0.6804962166
5	0.6794646321
6	0.6780254565
7	0.6770824451
8	0.6759406506
9	0.6750955806
10	0.6738478253
11	0.6729271448
12	0.6718138529
13	0.6710426057
14	0.6701224884
15	0.6690065182
16	0.6681985468
17	0.6674229184
18	0.6668829641
19	0.6651878548
20	0.6638064395
21	0.6633147488
22	0.6625527035
23	0.6615632628
24	0.66038596
25	0.6596450762
26	0.6585878937
27	0.6580929393
28	0.657024272
29	0.6563116352
30	0.6554985298
31	0.6549413001
32	0.6542968213
33	0.6536602461
34	0.6528103242
35	0.6524262168
36	0.651574208
37	0.6511463929
38	0.6504014193
39	0.6497185185
40	0.6489901533
41	0.6483746301
42	0.6479768176
43	0.6477978631
44	0.6471965387
45	0.6462743766
46	0.6454704582
47	0.6449661828
48	0.6444803971
49	0.6441288844
50	0.6435380357
51	0.6431049021
52	0.642378952
53	0.6418536002
54	0.6411187725
55	0.6403521509
56	0.6400759161
57	0.639731121
58	0.6389339227
59	0.6387406612
60	0.6378471678
61	0.6374363862
62	0.6369927026
63	0.636553975
64	0.6357483381
65	0.6353576166
66	0.6348847683
67	0.6344897722
68	0.6342883314
69	0.633833596
70	0.6332241062
71	0.6328320057
72	0.6324230269
73	0.6321440601
74	0.6317220657
75	0.6312245214
76	0.6308689438
77	0.6306380464
78	0.63015159
79	0.6295087895
80	0.6291618942
81	0.628519157
82	0.6280791609
83	0.6274718568
84	0.6272147534
85	0.6267733922
86	0.6263781948
87	0.6260744485
88	0.6255285552
89	0.6250606621
90	0.6247028156
91	0.6243215832
92	0.6238776338
93	0.6234615062
94	0.6232938414
95	0.622759716
96	0.6224920628
97	0.6221766502
98	0.6217338472
99	0.6213919993
100	0.6211695567
101	0.6207498573
102	0.6203596828
103	0.6197769618
104	0.6196141647
105	0.619252333
106	0.6186008921
107	0.6181863279
108	0.6178956058
109	0.6174119734
110	0.6170867534
111	0.6166433866
112	0.6163986075
113	0.6160926797
114	0.6155233079
115	0.6151153263
116	0.6147878159
117	0.6146432846
118	0.6141962239
119	0.6139665865
120	0.6135066456
121	0.6133931669
122	0.6129058988
123	0.612492716
124	0.612291117
125	0.6120670027
126	0.6117162493
127	0.6115585047
128	0.6111095784
129	0.6106983128
130	0.6102155209
131	0.6099987948
132	0.6096963904
133	0.6094086879
134	0.6091583869
135	0.6088996135
136	0.6082750032
137	0.6078271657
138	0.6077144792
139	0.6074007583
140	0.6069930985
141	0.6067197763
142	0.6063455637
143	0.6061248481
144	0.6057460523
145	0.6053460229
146	0.6049724908
147	0.6047632956
148	0.6044348562
149	0.6041281387
150	0.6038775612
151	0.6035763702
152	0.6033969702
153	0.6032603286
154	0.6029530526
155	0.6027252535
156	0.6024630121
157	0.6021524754
158	0.6020093301
159	0.6018128378
160	0.6016496746
161	0.6013447306
162	0.6008384141
163	0.6005325555
164	0.6002048211
165	0.5998689107
166	0.5994796426
167	0.5993178659
168	0.5989323587
169	0.5987600124
170	0.5985097576
171	0.5983226528
172	0.5977379321
173	0.5975521318
174	0.5973267237
175	0.5971464293
176	0.5969120425
177	0.5966049514
178	0.5963624451
179	0.5962856686
180	0.5958214531
181	0.5951668999
182	0.5946926802
183	0.5945054184
184	0.5943073863
185	0.5941296167
186	0.5938490879
187	0.5936984882
188	0.5932970128
189	0.5931210494
190	0.5929845949
191	0.5925255805
192	0.5920229194
193	0.5916990269
194	0.591486748
195	0.5910424165
196	0.5905515942
197	0.5900188641
198	0.5897822613
199	0.5893778204
200	0.5892005186
201	0.5888925547
202	0.5886633174
203	0.5885380336
204	0.5882836413
205	0.5881407612
206	0.5876955995
207	0.5871308441
208	0.5867055658
209	0.5864607627
210	0.5863146387
211	0.5860524221
212	0.5856301871
213	0.5853670526
214	0.5852201421
215	0.5850511417
216	0.5847746947
217	0.5843216705
218	0.5840881716
219	0.5840119291
220	0.5836395586
221	0.5834623783
222	0.5832632003
223	0.5828094251
224	0.5824049667
225	0.5819843097
226	0.5818646033
227	0.5816549834
228	0.5815330137
229	0.581309251
230	0.5810930065
231	0.5809157071
232	0.5806439222
233	0.580344576
234	0.580098383
235	0.5797824059
236	0.5793719476
237	0.5792493191
238	0.5791260368
239	0.5787248152
240	0.5785154189
241	0.5784351277
242	0.5783486713
243	0.5779181199
244	0.5778753306
245	0.5777002421
246	0.577306969
247	0.5771570686
248	0.5769587536
249	0.5768206853
250	0.5765028704
251	0.5763012454
252	0.5761319809
253	0.5759469902
254	0.5757738807
255	0.5755492171
256	0.5753930405
257	0.5752740108
258	0.5751901614
259	0.5750411718
260	0.574912098
261	0.5746484678
262	0.5744320401
263	0.5742160525
264	0.5740741666
265	0.573749541
266	0.5734076932
267	0.5732154475
268	0.5729261917
269	0.5727198475
270	0.5724537224
271	0.5723359042
272	0.5721240938
273	0.5719960962
274	0.5718947835
275	0.5716715379
276	0.5713670059
277	0.5710311961
278	0.5709101486
279	0.5707442215
280	0.5704569321
281	0.5702275431
282	0.5701761883
283	0.5700387846
284	0.5698404892
285	0.5697734313
286	0.5694043517
287	0.5693374825
288	0.5691548113
289	0.5689820748
290	0.5687162168
291	0.5683801421
292	0.5683491235
293	0.568049261
294	0.5679234258
295	0.5676775809
296	0.567446012
297	0.5671334187
298	0.5669730888
299	0.5667294969
300	0.5664980168
301	0.5660915055
302	0.5658051439
303	0.5656602506
304	0.5655978805
305	0.565407705
306	0.5652244443
307	0.5650672397
308	0.5648671425
309	0.5647619294
310	0.564651618
311	0.5643867284
312	0.5642809677
313	0.5641294265
314	0.5639584371
315	0.5637629211
316	0.5636778634
317	0.5635191595
318	0.5633887362
319	0.5632125802
320	0.5630672565
321	0.5627584144
322	0.5626765538
323	0.5625296418
324	0.5623207966
325	0.5621874147
326	0.5620659769
327	0.5618232303
328	0.5615931805
329	0.5613568961
330	0.5612173141
331	0.5609083305
332	0.5607699902
333	0.5606345583
334	0.5604915447
335	0.560397504
336	0.5601660803
337	0.5599761605
338	0.5598442835
339	0.5596650186
340	0.5595020414
341	0.559224543
342	0.5591063163
343	0.5589427015
344	0.5587114971
345	0.5584763009
346	0.558067036
347	0.5579355768
348	0.5577844803
349	0.5576383623
350	0.5573990402
351	0.5572313935
352	0.5570082401
353	0.5567084347
354	0.5565944239
355	0.5564677559
356	0.5563363938
357	0.5561427111
358	0.5559226721
359	0.5557215013
360	0.5554766598
361	0.5553427388
362	0.5551926179
363	0.5549830172
364	0.5548185754
365	0.5545746317
366	0.5544435249
367	0.5542547972
368	0.5538570028
369	0.5536114369
370	0.5533775227
371	0.5532208354
372	0.5531132312
373	0.5528773562
374	0.5527574954
375	0.5526805554
376	0.5524389578
377	0.5522695271
378	0.552069581
379	0.5519839567
380	0.551823832
381	0.5516845127
382	0.5514441573
383	0.5512359176
384	0.55111346
385	0.5510161551
386	0.5508895938
387	0.5506800411
388	0.5505824944
389	0.5503250008
390	0.5500829637
391	0.5500105015
392	0.5499169497
393	0.549774479
394	0.5497004482
395	0.5494738284
396	0.5493993659
397	0.549306653
398	0.549026021
399	0.5489294876
400	0.5486734844
401	0.5484733302
402	0.5483458716
403	0.5481755312
404	0.5478588519
405	0.5476474932
406	0.5475521446
407	0.5474031393
408	0.5470841405
409	0.5469562075
410	0.5468462269
411	0.5467504411
412	0.5466594423
413	0.5464929812
414	0.5463546466
415	0.5463026334
416	0.5462408016
417	0.5461866393
418	0.5460501736
419	0.5458062366
420	0.5457371794
421	0.5455884588
422	0.5454734361
423	0.5454269885
424	0.5452963604
425	0.5451432306
426	0.5450848252
427	0.5448920369
428	0.5446355205
429	0.5445163275
430	0.5444748064
431	0.5443600512
432	0.5442886096
433	0.5441319397
434	0.5439894479
435	0.5438196236
436	0.5437253093
437	0.543556189
438	0.5433319043
439	0.5431904028
440	0.5430598504
441	0.5428968885
442	0.5426365049
443	0.5424765842
444	0.5423857721
445	0.542225485
446	0.5421256455
447	0.5419663139
448	0.5418749242
449	0.5418145389
450	0.5416072361
451	0.5415383216
452	0.5414931336
453	0.5412986572
454	0.5411249069
455	0.5410462458
456	0.5407510503
457	0.5406981319
458	0.5406524105
459	0.5405807404
460	0.5404792063
461	0.5403484117
462	0.5402258759
463	0.5400980831
464	0.5399653234
465	0.5398121749
466	0.5397593732
467	0.5395160734
468	0.5393635434
469	0.5392651105
470	0.5390864579
471	0.5388104248
472	0.5386874086
473	0.53859862
474	0.5385166325
475	0.5384334895
476	0.5382147024
477	0.5381371459
478	0.5379742291
479	0.5379212556
480	0.5378171526
481	0.5376698237
482	0.537609089
483	0.5374398626
484	0.5373941331
485	0.5372569265
486	0.5371268792
487	0.5370610635
488	0.5369122557
489	0.536877838
490	0.5367014602
491	0.536655573
492	0.5364986776
493	0.5364039833
494	0.536166747
495	0.5359623221
496	0.5358340326
497	0.5357685727
498	0.5356735266
499	0.5354870554
500	0.5352899014
501	0.5351861803
502	0.5349687113
503	0.5347065829
504	0.5345796748
505	0.5344536368
506	0.534326687
507	0.5342233645
508	0.5341602563
509	0.5340913181
510	0.533975585
511	0.5338704766
512	0.5338226453
513	0.5337716803
514	0.5336946566
515	0.5335430932
516	0.5333827883
517	0.5332609568
518	0.5331464609
519	0.532947432
520	0.5327914807
521	0.5326638969
522	0.532614934
523	0.5325363703
524	0.5323516203
525	0.5322737112
526	0.5322266828
527	0.5320945711
528	0.5319440327
529	0.5316960152
530	0.5315641692
531	0.5314387344
532	0.5312329123
533	0.5311878321
534	0.5310949645
535	0.5308910557
536	0.5308482744
537	0.5307164525
538	0.5306228461
539	0.5304073356
540	0.5303759823
541	0.5302259378
542	0.529945451
543	0.5298187681
544	0.5297228935
545	0.5296127715
546	0.5295499614
547	0.5294360235
548	0.5293311359
549	0.5291524741
550	0.5290329901
551	0.5288360281
552	0.5287930164
553	0.5287051547
554	0.5286655362
555	0.5284601579
556	0.528420222
557	0.5283157679
558	0.5281991095
559	0.5281014347
560	0.5278173295
561	0.5277260599
562	0.5275722196
563	0.5272507613
564	0.5271052568
565	0.527035401
566	0.5269979596
567	0.5269238477
568	0.5268469859
569	0.5267512914
570	0.5266575226
571	0.5265089199
572	0.5264250083
573	0.5263396823
574	0.5263006094
575	0.5259714686
576	0.5257049593
577	0.525622169
578	0.5254402278
579	0.5253386924
580	0.5251217066
581	0.5250550807
582	0.5249740486
583	0.5248737883
584	0.5247862514
585	0.5247292301
586	0.5246799215
587	0.52463846
588	0.524560225
589	0.5244164445
590	0.5243227799
591	0.5242144863
592	0.5241341989
593	0.5239959852
594	0.5238866889
595	0.5236145542
596	0.5234241216
597	0.5232464798
598	0.5230778467
599	0.5229500273
600	0.5228310438
601	0.5226765966
602	0.5225518506
603	0.5224740085
604	0.5223244822
605	0.5222307864
606	0.5221702203
607	0.5220926746
608	0.5219997934
609	0.5218761473
610	0.5216658303
611	0.521604322
612	0.5214886951
613	0.521326346
614	0.5212076404
615	0.5211598585
616	0.5210546953
617	0.5210023459
618	0.5208962539
619	0.520814347
620	0.5207361522
621	0.5205704565
622	0.5204471277
623	0.5204255019
624	0.5203770139
625	0.5202876531
626	0.5202061055
627	0.520091733
628	0.5200039411
629	0.5197771132
630	0.5196406344
631	0.5195001052
632	0.519239372
633	0.5191803707
634	0.518983372
635	0.518932492
636	0.51889045
637	0.5187201236
638	0.5185737868
639	0.5184693529
640	0.5183992258
641	0.5182210194
642	0.5180308559
643	0.5179729544
644	0.5179218856
645	0.5178086918
646	0.5177304527
647	0.5175976859
648	0.5174548774
649	0.517373405
650	0.5172732496
651	0.5172159802
652	0.5171437864
653	0.5170720696
654	0.5167831671
655	0.5166768533
656	0.5165727796
657	0.5164332277
658	0.5163102647
659	0.5161457193
660	0.5159861715
661	0.5159055798
662	0.51578285
663	0.5157106702
664	0.515563215
665	0.5154937646
666	0.5154708501
667	0.5153257537
668	0.5151571799
669	0.5149890848
670	0.5148718435
671	0.5147742071
672	0.5146789449
673	0.5145957167
674	0.5144631003
675	0.5143998209
676	0.5142662039
677	0.5142028203
678	0.514171471
679	0.5140333985
680	0.5139631963
681	0.5136711983
682	0.5135726302
683	0.5134380173
684	0.5132686203
685	0.5131932877
686	0.5131483789
687	0.5130971953
688	0.5130212139
689	0.5129051099
690	0.5125760736
691	0.5123520954
692	0.5122762602
693	0.5119564739
694	0.5118426037
695	0.5116331282
696	0.5115454205
697	0.5114990798
698	0.5114095227
699	0.511348609
700	0.5112770038
701	0.5112077089
702	0.5111062901
703	0.51105231
704	0.5109790725
705	0.5109176331
706	0.510861467
707	0.5106193367
708	0.5104070594
709	0.5103222032
710	0.5102982469
711	0.5102044802
712	0.5101025682
713	0.5100551643
714	0.5099121512
715	0.5097555365
716	0.5096308316
717	0.5094944518
718	0.5094215242
719	0.5093069589
720	0.5092195109
721	0.5091305967
722	0.5089288396
723	0.5088608628
724	0.5087624824
725	0.5086925259
726	0.5086218686
727	0.5084925542
728	0.5084395939
729	0.5083571985
730	0.5082378977
731	0.5081032933
732	0.5080537098
733	0.5078563244
734	0.5077649109
735	0.5076977274
736	0.5075903778
737	0.5075004443
738	0.5074384362
739	0.5073059599
740	0.5072649192
741	0.5071447112
742	0.5068567223
743	0.5068058003
744	0.5066242361
745	0.5065489428
746	0.5064548264
747	0.5061847538
748	0.5061615126
749	0.5061253627
750	0.5060150326
751	0.5058527519
752	0.5058270644
753	0.5057521243
754	0.5056426647
755	0.5055871848
756	0.5054611413
757	0.5054323162
758	0.5053253937
759	0.5052733222
760	0.5052043664
761	0.5051201503
762	0.5049840141
763	0.5049153384
764	0.5047931356
765	0.504700087
766	0.5046231837
767	0.5044141114
768	0.5042293964
769	0.5041873752
770	0.5041321543
771	0.5040761021
772	0.5039446104
773	0.5038729069
774	0.5038132612
775	0.5037707481
776	0.5036988289
777	0.5035559462
778	0.503282851
779	0.503139755
780	0.5030042261
781	0.5029478452
782	0.5029184862
783	0.5028463419
784	0.5027262819
785	0.5026230286
786	0.5024241828
787	0.5023487781
788	0.5023000639
789	0.5021689366
790	0.5021170558
